sid,lpg_primary,lpg_nozzle_types
15106,1.0,"[""ACME""]"
15116,1.0,"[""ACME""]"
15120,0.0,"[""ACME""]"
15130,0.0,"[""ACME""]"
15133,0.0,None
15134,1.0,"[""QUICK_CONNECT""]"
15139,0.0,"[""ACME""]"
15163,0.0,"[""ACME""]"
15185,0.0,"[""ACME""]"
15212,1.0,"[""QUICK_CONNECT""]"
15244,0.0,"[""ACME""]"
15287,0.0,"[""ACME""]"
15305,1.0,"[""ACME""]"
15330,1.0,"[""ACME""]"
15337,0.0,"[""ACME""]"
15350,0.0,"[""ACME""]"
15351,1.0,"[""ACME""]"
15375,0.0,"[""ACME""]"
15382,0.0,"[""ACME""]"
15386,0.0,"[""ACME""]"
15393,0.0,"[""ACME""]"
15402,1.0,"[""ACME"",""QUICK_CONNECT""]"
15435,1.0,"[""ACME""]"
15436,1.0,"[""ACME""]"
15437,0.0,"[""ACME""]"
15445,1.0,"[""ACME""]"
15480,0.0,"[""ACME""]"
15491,0.0,"[""ACME""]"
15498,1.0,"[""ACME""]"
15502,1.0,"[""ACME""]"
15503,1.0,"[""ACME""]"
15509,0.0,"[""ACME""]"
15513,1.0,"[""ACME"",""QUICK_CONNECT""]"
15553,1.0,"[""ACME""]"
15569,1.0,"[""ACME""]"
15576,0.0,"[""ACME""]"
15581,0.0,"[""ACME""]"
15598,0.0,"[""ACME""]"
15619,1.0,"[""ACME""]"
15657,1.0,"[""ACME""]"
15661,0.0,"[""ACME""]"
15672,0.0,"[""ACME""]"
15682,0.0,"[""ACME""]"
15686,0.0,"[""ACME""]"
15707,0.0,"[""ACME""]"
15711,0.0,"[""ACME""]"
15714,0.0,"[""ACME""]"
15717,1.0,"[""ACME""]"
15759,0.0,"[""ACME""]"
15766,0.0,"[""ACME""]"
15807,1.0,"[""ACME""]"
15810,0.0,"[""ACME""]"
15811,0.0,"[""ACME""]"
15819,1.0,"[""ACME""]"
15830,1.0,"[""ACME""]"
15855,0.0,"[""ACME""]"
15858,0.0,None
15859,1.0,"[""ACME""]"
15864,1.0,"[""ACME""]"
15866,0.0,"[""ACME""]"
15874,1.0,"[""ACME""]"
15878,0.0,None
15887,0.0,"[""ACME""]"
15889,1.0,"[""ACME""]"
15892,0.0,"[""ACME""]"
15902,0.0,"[""ACME""]"
15904,1.0,"[""ACME""]"
15911,0.0,"[""ACME"",""QUICK_CONNECT""]"
15967,0.0,None
15979,0.0,"[""ACME""]"
15997,0.0,"[""ACME""]"
16008,0.0,"[""QUICK_CONNECT""]"
16012,0.0,"[""ACME""]"
16048,1.0,"[""ACME""]"
16051,1.0,"[""ACME""]"
17458,0.0,"[""ACME""]"
17461,1.0,"[""ACME""]"
17480,0.0,"[""ACME""]"
17491,0.0,"[""ACME""]"
17537,0.0,"[""ACME""]"
17539,0.0,"[""ACME""]"
17541,0.0,"[""ACME""]"
17565,0.0,"[""ACME""]"
17587,0.0,"[""ACME""]"
17598,0.0,"[""ACME""]"
17607,0.0,"[""ACME""]"
17635,1.0,"[""ACME"",""QUICK_CONNECT""]"
17636,1.0,"[""ACME""]"
17639,0.0,"[""ACME""]"
17654,0.0,"[""ACME""]"
17659,0.0,"[""ACME""]"
17668,0.0,"[""ACME""]"
17799,0.0,"[""ACME""]"
17899,0.0,"[""ACME""]"
17915,0.0,"[""ACME"",""QUICK_CONNECT""]"
18075,0.0,None
18077,0.0,"[""ACME""]"
18084,0.0,"[""ACME""]"
18090,0.0,"[""ACME""]"
18107,0.0,"[""ACME""]"
18189,0.0,"[""ACME""]"
18214,0.0,"[""ACME""]"
18471,0.0,"[""ACME""]"
18472,1.0,"[""ACME""]"
18485,1.0,"[""ACME""]"
18513,0.0,"[""ACME""]"
18528,0.0,"[""ACME""]"
18533,0.0,"[""ACME""]"
18537,0.0,"[""ACME""]"
18573,0.0,"[""ACME""]"
18614,0.0,"[""ACME""]"
18726,0.0,"[""ACME""]"
18784,0.0,"[""ACME""]"
18827,0.0,"[""ACME""]"
18828,0.0,"[""ACME""]"
18834,None,None
18861,1.0,None
19114,1.0,"[""ACME"",""QUICK_CONNECT""]"
19126,0.0,"[""ACME""]"
19127,0.0,"[""ACME""]"
19154,1.0,"[""ACME""]"
19158,1.0,"[""ACME"",""QUICK_CONNECT""]"
19160,1.0,"[""ACME"",""QUICK_CONNECT""]"
19161,0.0,"[""ACME"",""QUICK_CONNECT""]"
19163,0.0,"[""ACME"",""QUICK_CONNECT""]"
19168,1.0,"[""ACME"",""QUICK_CONNECT""]"
19171,1.0,"[""ACME"",""QUICK_CONNECT""]"
19173,1.0,"[""ACME"",""QUICK_CONNECT""]"
19174,0.0,"[""ACME"",""QUICK_CONNECT""]"
19175,1.0,"[""ACME"",""QUICK_CONNECT""]"
19176,1.0,"[""ACME"",""QUICK_CONNECT""]"
19180,1.0,"[""ACME"",""QUICK_CONNECT""]"
19182,0.0,"[""ACME"",""QUICK_CONNECT""]"
19184,0.0,"[""ACME"",""QUICK_CONNECT""]"
19186,0.0,None
19188,1.0,"[""ACME"",""QUICK_CONNECT""]"
19191,0.0,"[""ACME"",""QUICK_CONNECT""]"
19199,0.0,None
19201,1.0,"[""ACME"",""QUICK_CONNECT""]"
19202,0.0,"[""ACME"",""QUICK_CONNECT""]"
19203,0.0,"[""ACME"",""QUICK_CONNECT""]"
19204,0.0,None
19205,0.0,"[""ACME"",""QUICK_CONNECT""]"
19208,0.0,None
19211,0.0,"[""ACME"",""QUICK_CONNECT""]"
19212,0.0,"[""ACME"",""QUICK_CONNECT""]"
19216,0.0,"[""ACME"",""QUICK_CONNECT""]"
19229,0.0,"[""ACME"",""QUICK_CONNECT""]"
19234,0.0,"[""ACME"",""QUICK_CONNECT""]"
19236,0.0,None
19275,1.0,"[""ACME"",""QUICK_CONNECT""]"
19276,1.0,"[""ACME"",""QUICK_CONNECT""]"
19277,1.0,"[""ACME"",""QUICK_CONNECT""]"
19280,1.0,"[""ACME"",""QUICK_CONNECT""]"
19281,1.0,"[""ACME"",""QUICK_CONNECT""]"
19282,1.0,"[""ACME"",""QUICK_CONNECT""]"
19287,1.0,"[""ACME"",""QUICK_CONNECT""]"
19288,1.0,"[""ACME"",""QUICK_CONNECT""]"
19290,1.0,"[""ACME"",""QUICK_CONNECT""]"
19297,1.0,"[""ACME"",""QUICK_CONNECT""]"
19298,0.0,"[""ACME"",""QUICK_CONNECT""]"
19299,0.0,"[""ACME"",""QUICK_CONNECT""]"
19302,1.0,"[""ACME"",""QUICK_CONNECT""]"
19307,1.0,"[""ACME"",""QUICK_CONNECT""]"
19310,1.0,"[""QUICK_CONNECT"",""ACME""]"
19312,1.0,"[""ACME"",""QUICK_CONNECT""]"
19314,1.0,None
19317,0.0,"[""ACME"",""QUICK_CONNECT""]"
19327,1.0,"[""ACME"",""QUICK_CONNECT""]"
19328,0.0,None
19329,1.0,"[""ACME"",""QUICK_CONNECT""]"
19330,1.0,"[""ACME"",""QUICK_CONNECT""]"
19333,1.0,"[""ACME"",""QUICK_CONNECT""]"
19335,1.0,"[""ACME"",""QUICK_CONNECT""]"
19341,1.0,"[""ACME"",""QUICK_CONNECT""]"
19343,0.0,None
19350,1.0,"[""ACME"",""QUICK_CONNECT""]"
19351,1.0,"[""ACME"",""QUICK_CONNECT""]"
19360,0.0,"[""ACME"",""QUICK_CONNECT""]"
19362,0.0,"[""ACME"",""QUICK_CONNECT""]"
19363,1.0,"[""ACME"",""QUICK_CONNECT""]"
19368,0.0,"[""ACME"",""QUICK_CONNECT""]"
19378,1.0,"[""ACME"",""QUICK_CONNECT""]"
19379,1.0,"[""ACME"",""QUICK_CONNECT""]"
19381,1.0,"[""ACME"",""QUICK_CONNECT""]"
19383,0.0,"[""ACME"",""QUICK_CONNECT""]"
19387,1.0,"[""ACME"",""QUICK_CONNECT""]"
19392,1.0,"[""ACME"",""QUICK_CONNECT""]"
19393,1.0,"[""ACME"",""QUICK_CONNECT""]"
19394,1.0,"[""ACME"",""QUICK_CONNECT""]"
19396,1.0,"[""ACME"",""QUICK_CONNECT""]"
19402,1.0,"[""ACME"",""QUICK_CONNECT""]"
19403,1.0,"[""ACME"",""QUICK_CONNECT""]"
19404,1.0,"[""ACME"",""QUICK_CONNECT""]"
19412,1.0,"[""ACME"",""QUICK_CONNECT""]"
19418,1.0,"[""ACME"",""QUICK_CONNECT""]"
19419,1.0,"[""ACME"",""QUICK_CONNECT""]"
19420,1.0,"[""ACME"",""QUICK_CONNECT""]"
19427,0.0,"[""ACME"",""QUICK_CONNECT""]"
19428,1.0,"[""ACME"",""QUICK_CONNECT""]"
19431,0.0,"[""ACME"",""QUICK_CONNECT""]"
19439,0.0,"[""ACME"",""QUICK_CONNECT""]"
19466,1.0,"[""ACME"",""QUICK_CONNECT""]"
19477,1.0,"[""ACME"",""QUICK_CONNECT""]"
19478,1.0,"[""ACME"",""QUICK_CONNECT""]"
19479,1.0,"[""ACME"",""QUICK_CONNECT""]"
19480,1.0,"[""ACME"",""QUICK_CONNECT""]"
19481,1.0,"[""ACME"",""QUICK_CONNECT""]"
19485,1.0,"[""ACME"",""QUICK_CONNECT""]"
19487,1.0,"[""ACME"",""QUICK_CONNECT""]"
19507,1.0,"[""ACME"",""QUICK_CONNECT""]"
19511,1.0,"[""ACME"",""QUICK_CONNECT""]"
19513,1.0,"[""ACME"",""QUICK_CONNECT""]"
19514,1.0,"[""ACME"",""QUICK_CONNECT""]"
19517,0.0,"[""ACME"",""QUICK_CONNECT""]"
19518,1.0,"[""ACME"",""QUICK_CONNECT""]"
19519,1.0,"[""ACME"",""QUICK_CONNECT""]"
19520,1.0,"[""ACME"",""QUICK_CONNECT""]"
19521,1.0,"[""ACME"",""QUICK_CONNECT""]"
19522,0.0,"[""ACME"",""QUICK_CONNECT""]"
19530,0.0,"[""ACME"",""QUICK_CONNECT""]"
19544,0.0,"[""ACME"",""QUICK_CONNECT""]"
19546,0.0,"[""QUICK_CONNECT"",""ACME""]"
19547,1.0,"[""ACME"",""QUICK_CONNECT""]"
