sid,e85_blender_pump,e85_other_ethanol_blends
28985,1.0,"[""E20-E25"",""E30-E35""]"
28988,1.0,"[""E15"",""E30-E35""]"
28992,0.0,
28994,1.0,"[""E15"",""E30-E35""]"
28998,0.0,
29008,0.0,
29009,0.0,
29016,1.0,"[""E15""]"
29174,0.0,
29176,0.0,
29180,0.0,
29184,1.0,"[""E15""]"
29193,1.0,"[""E30-E35""]"
29194,1.0,"[""E30-E35""]"
29287,0.0,
29379,0.0,
29386,0.0,
29387,0.0,
29388,0.0,
29389,0.0,
29390,0.0,
29391,0.0,
29393,0.0,
29394,0.0,
29395,0.0,
29396,1.0,"[""E15""]"
29401,1.0,"[""E30-E35""]"
29402,0.0,
29406,0.0,
29409,0.0,
29411,0.0,
29414,0.0,
29419,0.0,
29423,1.0,"[""E30-E35""]"
29424,0.0,
29425,0.0,
29430,0.0,
29435,0.0,
29526,0.0,
29527,0.0,
29528,0.0,
29531,0.0,
29591,0.0,
29639,0.0,
29659,0.0,
29660,0.0,
29661,1.0,"[""E20-E25""]"
29666,0.0,
29667,0.0,
29668,1.0,"[""E40-Plus""]"
29671,0.0,
29678,0.0,
29832,0.0,
29834,0.0,
29836,1.0,"[""E15""]"
29837,0.0,
29841,0.0,
29845,0.0,
29847,0.0,
29848,0.0,
29854,0.0,
29855,0.0,
29859,0.0,
29860,0.0,
30013,0.0,
30014,1.0,"[""E15""]"
30015,1.0,"[""E15""]"
30016,1.0,"[""E15""]"
30017,0.0,
30034,1.0,"[""E15""]"
30037,1.0,"[""E15""]"
30039,1.0,"[""E40-Plus""]"
30041,0.0,
30042,1.0,"[""E15"",""E30-E35""]"
30044,0.0,
30047,0.0,
30051,0.0,
30053,1.0,"[""E40-Plus""]"
30055,1.0,"[""E40-Plus""]"
30056,1.0,"[""E20-E25"",""E30-E35""]"
30060,1.0,"[""E20-E25"",""E30-E35"",""E40-Plus""]"
30067,0.0,
30069,0.0,
30070,0.0,
30071,0.0,
30074,0.0,
30075,0.0,
30076,1.0,"[""E15""]"
30086,0.0,
30089,1.0,"[""E15""]"
30102,1.0,"[""E15""]"
30200,0.0,
30230,0.0,
30233,0.0,
30234,0.0,
30235,0.0,
30236,0.0,
30238,0.0,
30241,0.0,
30242,1.0,"[""E15""]"
30245,0.0,
30246,0.0,
30247,0.0,
30248,0.0,
30249,0.0,
30250,0.0,
30251,0.0,
30252,0.0,
30253,0.0,
30256,1.0,"[""E15"",""E30-E35""]"
30257,0.0,
30262,0.0,
30266,1.0,"[""E15""]"
30268,0.0,
30275,0.0,
30276,0.0,
30277,0.0,
30282,0.0,
30284,0.0,
30393,1.0,"[""E15"",""E30-E35""]"
30397,0.0,
30448,0.0,
30461,0.0,
30463,0.0,
30507,0.0,
30536,0.0,
30540,0.0,
30542,0.0,
30546,1.0,"[""E15"",""E30-E35""]"
30642,0.0,
30704,0.0,
30707,0.0,
30709,0.0,
30714,0.0,
30716,0.0,
30739,0.0,
30740,0.0,
30741,0.0,
30742,0.0,
30743,1.0,"[""E15""]"
30744,0.0,
30745,0.0,
30746,0.0,
30747,0.0,
30748,0.0,
30749,0.0,
30750,0.0,
30751,0.0,
30752,0.0,
30753,0.0,
30754,0.0,
30755,0.0,
30756,0.0,
30757,0.0,
30758,0.0,
30759,0.0,
30760,0.0,
30762,0.0,
30763,0.0,
30764,0.0,
30765,0.0,
30766,0.0,
30767,0.0,
30768,0.0,
30769,0.0,
30770,0.0,
30771,0.0,
30840,0.0,
30844,0.0,
30846,1.0,"[""E15"",""E30-E35"",""E40-Plus""]"
30850,1.0,"[""E20-E25"",""E30-E35"",""E40-Plus""]"
30934,1.0,"[""E15""]"
30935,1.0,"[""E15""]"
30940,0.0,
30965,0.0,
30976,0.0,
30977,0.0,
30978,0.0,
31059,0.0,
31060,0.0,
31158,1.0,"[""E15"",""E30-E35""]"
31174,1.0,"[""E20-E25"",""E30-E35""]"
31195,0.0,
31200,0.0,
31211,0.0,
31239,0.0,
31240,0.0,
31242,0.0,
31243,0.0,
31248,0.0,
31249,0.0,
31251,0.0,
31252,0.0,
31253,1.0,"[""E15"",""E30-E35""]"
31336,1.0,"[""E15""]"
31337,1.0,"[""E15"",""E30-E35""]"
31338,1.0,"[""E15"",""E30-E35""]"
31339,0.0,
31460,0.0,
31488,0.0,
31530,0.0,
31532,0.0,
31533,0.0,
31534,0.0,
31535,0.0,
31536,0.0,
31538,0.0,
31540,0.0,
31541,0.0,
31613,0.0,
31614,0.0,
31615,0.0,
31616,0.0,
31619,0.0,
31620,1.0,"[""E15""]"
31622,0.0,
31623,0.0,
31624,1.0,"[""E15""]"
31625,1.0,"[""E15""]"
31667,1.0,"[""E15""]"
31668,0.0,
31669,0.0,
31670,1.0,"[""E15""]"
31671,0.0,
31672,0.0,
31677,1.0,"[""E15""]"
31704,1.0,"[""E15""]"
31722,0.0,
31725,1.0,"[""E30-E35""]"
31726,1.0,"[""E15""]"
31727,1.0,"[""E30-E35""]"
31729,0.0,
31734,0.0,
31735,0.0,
31736,1.0,"[""E15""]"
31737,1.0,"[""E15""]"
31738,1.0,"[""E15""]"
31739,0.0,
31785,0.0,
31787,0.0,
31789,0.0,
31791,0.0,
31865,0.0,
31943,0.0,
31950,0.0,
31951,0.0,
31952,0.0,
31976,0.0,
32103,0.0,
32105,0.0,
32106,0.0,
32110,0.0,
32111,1.0,"[""E15"",""E30-E35""]"
32112,0.0,
32114,0.0,
32115,0.0,
32116,0.0,
32187,0.0,
32188,0.0,
32234,1.0,"[""E15""]"
32238,0.0,
32275,0.0,
32279,0.0,
32368,0.0,
32369,0.0,
32372,0.0,
32401,1.0,"[""E15""]"
32402,0.0,
32404,0.0,
32406,0.0,
32409,0.0,
32410,0.0,
32411,0.0,
32448,0.0,
32451,0.0,
32460,0.0,
32463,0.0,
32521,0.0,
32522,0.0,
32524,1.0,"[""E15""]"
32525,1.0,"[""E15""]"
32527,0.0,
32567,1.0,"[""E15""]"
32568,0.0,
32569,0.0,
32580,0.0,
32582,0.0,
32583,0.0,
32584,0.0,
32585,0.0,
32589,0.0,
32590,0.0,
32592,1.0,"[""E15"",""E30-E35""]"
32593,1.0,"[""E15""]"
32595,0.0,
32617,0.0,
32623,0.0,
32625,0.0,
32627,0.0,
32633,1.0,"[""E15""]"
32648,0.0,
32677,0.0,
32682,0.0,
32684,0.0,
32685,0.0,
32699,0.0,
32700,0.0,
32726,0.0,
32728,1.0,"[""E15"",""E30-E35""]"
32735,1.0,"[""E15"",""E30-E35""]"
32736,0.0,
32739,0.0,
32743,0.0,
32748,0.0,
32752,0.0,
32899,1.0,"[""E15""]"
32900,0.0,
32902,0.0,
32903,0.0,
