vid,port
63cd9718-5737-4898-a4f4-e594b28c74c0,type2
add28704-7b59-474d-bfa6-2338e54ccaef,type2
87e73c44-93ba-4687-877c-32a3aa940a09,type2
58661a4c-e1f9-4dc2-8d09-3bb42be62554,type2
3c933da2-1fa1-4094-825a-a181610dbfd0,type2
600a7816-ea65-4e6a-ac91-c5528b379028,type2
b97f749b-5361-4116-8103-c208dc601a0b,type2
84f2fcc1-cc73-4919-8d76-0f1ba8eaf685,type2
a883bb35-270d-4f31-9169-ccf06ae3c0c5,type2
e7717ac1-90fa-4bea-9272-52afc10facc4,type2
c1fda7bf-9307-03c9-86c1-0350de0994cb,type2
8b0195b6-5318-46d9-a6fd-1b5f75e8b495,type2
2ae110f8-8906-4b03-b4bc-83e5577c1cc1,type2
176af738-f385-4dc8-9243-9c701fbd7759,type2
8a5cd1a2-f84a-22b9-b397-470fe5ca5bca,type2
5335d545-cfeb-4bca-bb11-cf0966f1b5ca,type2
0fad0871-8a99-6506-9c09-837f9ede132d,type2
6bbd3cdd-2b11-43cd-85b9-4556937f9f82,type2
71cc8552-391f-49b0-b106-2202fa222161,type2
1e8c0cc5-20db-491f-9242-12cf3bc7b962,type2
46240342-6f7e-4767-b66d-3234ba874a30,type2
f45de10a-764f-4a7e-9591-b974d0b87038,type2
b0da6660-c20e-40c3-9db7-0b19c478c6cb,type2
7fe5b0f6-aa07-4900-a109-a2b04117b762,type2
22cd1b30-c5ec-4042-85c0-159a154c590a,type2
8b51a06f-676a-46aa-9074-4d3364ea1cca,type2
4a5d82a6-9778-41a6-8e85-1fa108897f30,type2
ed02b1b2-f89d-432d-9e62-4feb8fb9cf97,type2
0a853f34-7c1f-492a-ae34-937767f53cbd,type2
cb56eb6c-33a6-40d7-9e4b-53625fd8385c,type2
5ca66d3a-8a33-48f5-a0b9-d8bbf25a6e24,type2
8cfce5f4-23b6-470a-87fa-a04095fe0334,type2
d8c11860-a582-4784-9e58-d29e94a67fc2,type2
2c7abcf4-0ba0-4feb-9e9b-b47661072feb,type1
1847e3aa-750c-4b12-a80a-56e792b3aadb,type1
2644bfd3-a593-4276-bb1f-c8965e33797e,type1
86290f48-f554-4db5-bd35-4a8b7828689a,type1
daa3573d-60ea-4c7a-8048-79c575e3db4c,type1
78b14a0f-5c62-4885-95ef-2e3f81197260,type2
77028f96-eb9b-4c65-b452-c92011b1fc1c,type2
dc7d163b-29bc-45cf-8156-60eb3e3b1294,type1
3b649ae3-935b-425b-b5d6-75c549b96d40,type1
83ec0576-bfb8-400a-9af9-483b2684673c,type1
74f2c3a5-f78f-459a-823a-dfc0a21e5aeb,type1
1cec7821-632f-4f17-8a58-644b6ab23f44,type2
6f96c616-e87a-4958-bbe7-b4278be00170,type2
557ce8e0-56c0-258e-6012-60c591df3b77,type2
7bff132a-ecad-af92-99e6-9bea47805e21,type2
c9e46cfd-6fb0-99b1-1911-d25a9d762e37,type2
f33f0a4f-9b53-4e21-807b-f8b2ca4a24f6,type2
7f4bf402-f8e2-47da-b456-30f1bdfce8ac,type1
5655021c-128f-49cf-970e-91b133335eec,type2
926efa33-4c55-43df-80f3-4b8d2d65a00a,type2
04980813-ec12-1047-40ea-4c6c44b60171,type2
ca526f1f-69d7-9c32-ac5b-13333fe57e78,type2
de7bac96-33ed-44f2-964e-21a4878e9f00,type2
28b61ff5-734a-412e-9241-dec4c27d1a38,type1
72695d36-29c4-4726-8ca8-5333fb3f9865,type2
9d101a26-eaaa-4058-a251-5221b45ffd91,type2
e60a8ec6-a6dd-46ae-846a-35cb57f1d8e3,type1
09022e0a-c322-46e7-9171-b48fdd953cca,type1
7ba60564-7eda-457b-b7d5-46dd1b15cc0e,type1
c9025ab4-1c85-40d8-86ab-ee406de3b716,type2
4c04db3b-c493-4b90-9859-21b7304a4ffc,type2
34b5ef32-efea-48fc-8386-3800d0b737f0,type2
6990914a-6a0d-49d4-87f5-ee86ee33344c,type2
a12f033f-f2c2-44bd-b62c-7019898a72d0,type2
737441e8-6b5f-4185-9b0b-e51585ab6ea8,type2
c53b5947-23a3-420c-9798-f3846732e41a,type2
9666138c-1d24-4fa8-9083-0ffba09ab1ef,type2
b3fd3e84-4dd4-4ac0-914f-3c3c582fc600,type2
5079c683-69ba-44b3-b8c8-d31fa00c97a1,type2
e604a056-9338-4044-93dd-5a595d4a3ef3,type2
de3a8751-00c9-46d1-9e7a-ad830835c6a7,type2
1c13fba9-2c09-4be1-b5c6-aecd2b253afb,type2
8f6db2f5-1dd9-46f6-bb97-eba419dbaea4,type2
6fa12374-6162-451e-8464-5e0e73091839,type2
46e4f46b-09d3-4beb-8649-f7a7f670bb45,type2
1d05cd18-d724-c60a-e8a4-c54b33b580e6,type2
2eea1ef2-0fd1-481d-adee-68044666614e,type2
aa69b5e8-fc4e-40f8-8060-2c96248f62ef,type2
18bb40bd-321b-4326-a404-e46652538830,type2
4dc6b014-8612-4fa7-bb34-9ea4d7fa5220,type2
55ac0aaf-6bae-4a8e-ba50-4a9a7ab5b4af,type2
52a90ece-7261-20a4-55fc-34c11b1cdc92,type2
ffcd3116-4e17-49ff-a926-941c062643ea,type2
41c9d96c-6a19-4db0-ba3a-931ab99c6f15,type2
ff261470-8556-4051-afec-c049abd5fe6a,type2
0620ba23-8f0e-1a09-f96d-4fa691c84a54,type2
80e7ef22-27f8-4e93-8c86-7a6a0a227e5d,type2
ed3fe177-d852-49bd-84ca-8ecd8d7ec3b1,type2
7de25a64-e9fa-484f-bf99-d02b02cfb17d,type2
93c82e06-1aa3-4c19-8f81-b9fac0c598c3,type2
7dbad968-7058-4440-9c8f-8f483cdd973a,type2
0a663bbf-3b87-4e7a-bd7a-3e9c39961a2b,type2
b5aa307e-a6b9-46e7-939e-2dd525870c13,type2
32922583-e434-4ed2-afc1-4d8fde67aeda,type2
7f709186-39c3-420f-9caf-1fdb424f7953,type2
40e94478-d8f9-4a53-8e62-b1c571d7db29,type2
01de7c99-366b-4084-909d-5723aad78668,type2
0551e45d-a5f5-4b78-b119-092b1b63a6bb,type2
5f6b0607-8844-4484-8030-f1479d0b4fe9,type2
4e1a275f-c333-40b8-bf8b-8f6ff271f720,type2
6f30c707-a785-42e7-80dc-fff32e16bfcc,type2
a9d800d2-be3d-48d5-a732-7768d9ce4bde,type2
b017f476-2111-4322-a843-97ba5be641e2,type2
1e752c58-220d-4d3a-bc9f-264cf095138a,type2
f70eec15-6a6e-4f8c-8640-bb99ec06fe43,type2
72720dc0-75b1-4e93-9c6c-0c07c7930412,type2
10317508-4fed-4aa2-a4da-d95fb20470eb,type2
4e172d17-11b4-4360-93ee-4e4b6ddb6fb6,type2
d43501d6-32b3-4601-bd24-605682e873fd,type2
d302a787-ff60-489a-b69b-2d1713009e88,type2
8a5ea62e-5c8c-483e-93f3-eebd659c0968,type2
d03d6e42-d6f8-4e3f-b527-a3c1d1e40f9d,type2
908e578f-f890-4716-93e8-7c0f75e46bb5,type2
0aa5220a-6da7-4dc0-a0a1-714bea4fded3,type2
355eadbb-0c97-4a66-993d-8fdc61a77ef5,type2
7490520f-fe11-4148-a9b6-3882f06ee082,type2
eb8d28ec-8df7-40a8-8dd7-badf738f0832,type2
1b3105fa-527a-491f-ac26-5bfa94bfa45d,type2
92ffd46c-fe26-4805-81ba-fbadce4d524f,type2
b7c4ddb8-4806-4328-a4e6-4abb4746016d,type2
aade3809-159e-415d-a9ce-e5633a173fb8,type2
48fe5bfc-89c4-4408-b262-52900a562b12,type2
5b501d1c-6e2a-f409-efe9-9a53e405c4eb,type2
50baff44-fcbe-48ac-a7ae-7a5181d9bb8c,type2
cb995cc3-84d9-4c87-89dc-f9dee7a47156,type2
0a7e79c1-ecd6-4639-bac1-9c9e49fec84c,type2
d8044adf-2538-4d45-b2d8-2b2fd0951766,type2
f1b46b0a-b101-4072-a246-0b52f0cc51f5,type2
f0132135-9415-4403-818b-cee07f81ceb2,type2
bad55b90-4b4f-4760-83ea-fa96280e7310,type2
fda95cb7-d391-4344-851e-a1b5a548b42b,type2
3fc921eb-7a43-4b09-a819-73b9d5a5c14f,type2
a0347619-a7fe-4dd2-be4e-3ef615783481,type2
bcd8700d-241c-43a1-b9df-24ee310ea8e4,type2
57184038-ae77-4540-9367-ccb98beb8cc3,type2
15023eb9-eba6-436e-ad98-2086f1cb31c4,type2
ec3b0af7-67c6-400d-b3c2-aa2f3be24c8a,type2
fc5b3c94-c0eb-4515-af3d-4a4106ffe29f,type2
0aaf072a-2655-49ef-4aed-6f66a3caf8c7,type2
ac812f08-3c8a-4af5-a07a-b520ec9e16cc,type2
a746d26e-2a73-4816-a0e4-a40bfb6ba7d7,type2
5f67bab0-e79a-4f79-ae8d-5643b9379bba,type2
f810b11d-d3c7-4c16-9841-4892b91052fa,type2
6bbab829-06e6-4180-b01c-b31abeffca9c,type2
900a4767-ca7e-4b26-82f1-810de98d7bdd,type2
b8e01c64-6751-42ec-b894-06c06609876c,type2
43765332-045e-42f6-8e32-e73ab1f54ba1,type2
847b6828-575a-41c6-82ea-07292186dd9b,type2
2802c16b-e3a9-491f-83cb-50059216c495,type2
dc945e47-3cfb-476c-9976-6771d21f8e16,type2
68057277-d06f-4c87-a7bd-e9cebd8c52c1,type2
9173a0f2-190c-4397-963e-25dbf89e398b,type2
49d41944-7bc9-4eeb-b952-ec4cc8173fb3,type2
79dbcf78-fdf5-4e80-9563-35efde72094b,type2
f12c671b-90c1-44f3-bd13-bd67b58a9491,type2
62af9d98-b361-44f6-bcab-ea2c01f0ea98,type2
d50e4d30-8737-4585-abb1-237339c4a798,type2
670ca5a8-af25-44b8-b50a-708500daf37a,type2
98aacbc9-5a97-4fe4-abcf-4f7bb2910a9f,type2
4f408d10-82c3-4850-ae2b-141f21d745b3,type2
975b064b-626e-4318-b60c-3ce0729743fd,type2
e3525b59-d3b9-4eef-9a01-1408358c5534,type2
1d43c981-02be-4d41-a34b-65a40ff25f7b,type2
f0b185de-9b9d-4a08-924f-450c4dadc7a6,type2
785c65be-3122-44ad-b574-9291c0793c37,type2
6a3a76f6-a0d0-41ff-afc9-5ad2f0879b4d,type2
805b5810-074c-449b-ad19-d6c852ebf8f6,type2
72475a6a-aae2-da13-1d17-94cc07e5104f,ccs
6033b26c-1b3c-441b-9f78-7b7cd5512051,ccs
3e99e8b9-dcea-755b-2b49-781757dd3946,ccs
04baeaa4-6bfc-4700-a553-20748aab54be,ccs
6f9de791-c484-9c22-ba3c-306ace49de76,ccs
0ae12bf4-e82a-622b-f669-2fa7bdf4b2fb,ccs
409a3d54-3dec-b5bb-5d6c-2a48749728c3,ccs
c6a6bd26-6a8f-4ab7-baf3-6cfa057044e3,ccs
cfaf82d8-0255-4e13-8bf7-2711ed619bfb,ccs
a9a177bf-9ce5-4b67-b3ef-51af248b48c2,ccs
27d7610e-9a77-498a-b1b5-28d4bc92cbf2,ccs
059c028d-b2a6-4a8d-947a-158c7537b290,ccs
d5719a82-d898-45b5-a8f7-95cd89c9d886,ccs
aceb9326-181f-cc73-0467-4c63ee47c0fb,ccs
e59115ea-4d72-094c-2941-1494f8005ae2,ccs
555c0b5b-ba1e-741a-27e0-dee32087e2a2,ccs
e67dc450-d658-4bee-bd0f-a750d445b2f9,ccs
dbf24ffc-3270-409b-b4da-ec386fa36657,ccs
0ec3f440-136c-49f1-8917-c629a27146c7,ccs
cf9d35a6-8c61-44da-97fc-e1212b0f8fbd,ccs
823d8294-a3b3-40ab-a140-fa1e11e44c4e,ccs
262ae184-9095-41ca-aaa0-9db46869f362,ccs
2390340c-4405-4ca8-b0a5-1565dc842d5a,ccs
c0217035-4247-877f-43ba-446d583db76c,ccs
a9344438-3cea-e564-5532-969591f070c8,ccs
93754920-4a86-c1e9-7f58-7b183afbdbef,ccs
ab631897-9d68-4971-8cbc-b81d0ef2ccaa,ccs
7508892b-e7e7-42ba-9cca-57753426cd86,ccs
