sid,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class
1388,1.0,Q,3600,NONE,,,LD
1389,,,,,,,HD
7031,,B,3600,,,,HD
7034,,Q,3600,,,,HD
7037,2.0,Q,3000 3600,,500.0,,HD
7041,4.0,Q,3600,NONE,865.0,,HD
7045,,Q,3000,,58.0,,MD
7088,,B,3000 3600,,25.0,,MD
7108,1.0,Q,3600,,250.0,33000.0,MD
7119,1.0,Q,3000 3600,,50.0,,HD
12767,2.0,Q,3000 3600,NONE,200.0,,MD
12781,1.0,B,3600,,50.0,33000.0,MD
12783,1.0,B,3000,,25.0,18000.0,MD
12784,2.0,Q,3600,,200.0,48000.0,MD
12786,1.0,Q,3600,,100.0,33000.0,MD
12787,,B,3000,,25.0,18000.0,MD
12788,,Q,3600,NONE,,,HD
12796,,Q,3600,,,,HD
12799,2.0,Q,3000 3600,,196.0,60000.0,HD
12803,,B,3600,,116.0,,HD
12804,3.0,Q,3600,,1400.0,,HD
12808,,Q,3000 3600,,110.0,,MD
12809,,T,3000 3600,,50.0,,HD
12810,,B,3000 3600,NONE,264.0,,HD
12826,1.0,Q,3000 3600,NONE,1000.0,,MD
12830,,B,3000 3600,,,,HD
12832,1.0,Q,3000 3600,,,,MD
12839,1.0,Q,3600,NONE,150.0,63937.0,HD
12840,1.0,Q,3000 3600,,125.0,,HD
12841,2.0,Q,3600,NONE,,,HD
12842,,T,3600,,240.0,,HD
12843,5.0,Q,3600,,,21000.0,HD
18888,4.0,Q,3600,NONE,270.0,,HD
18892,2.0,Q,3000 3600,,300.0,37000.0,MD
18893,1.0,Q,3000 3600,,190.0,37000.0,HD
18898,1.0,Q,3000 3600,,150.0,,MD
18900,1.0,Q,3600,,500.0,,MD
18914,,Q,3000 3600,,,,HD
18915,,Q,3000 3600,,,,HD
18916,,Q,3600,,,,HD
18926,,Q,3000 3600,,530.0,,HD
18943,2.0,Q,3000 3600,,196.0,30000.0,HD
20888,1.0,Q,3000 3600,NONE,350.0,,HD
20905,1.0,Q,3600,,300.0,37000.0,MD
20908,,Q,3000,,25.0,,HD
20912,,Q,3000 3600,,,,HD
20916,1.0,B,3600,,75.0,33000.0,MD
20917,1.0,B,3600,,100.0,33000.0,MD
20918,1.0,B,3600,,50.0,33000.0,MD
20920,1.0,B,3600,,100.0,33000.0,MD
20921,1.0,B,3600,,125.0,33000.0,MD
20922,1.0,Q,3600,,100.0,33000.0,MD
20923,2.0,Q,3000 3600,,400.0,,HD
20931,,Q,3000,,600.0,,HD
20976,1.0,B,3600,,300.0,,MD
21435,,B,3600,,200.0,,LD
21660,4.0,Q,3000 3600,,400.0,,HD
21975,1.0,Q,3000 3600,NONE,1500.0,,HD
21985,2.0,B,3600,NONE,1520.0,200000.0,HD
22718,1.0,B,3600,,350.0,48000.0,MD
22719,1.0,Q,3600,,25.0,33000.0,MD
22720,1.0,B,3600,,250.0,33000.0,MD
23203,1.0,Q,3000 3600,,800.0,,HD
23206,2.0,Q,3600,,760.0,31664.0,HD
23208,,Q,3000 3600,,,,MD
23211,1.0,Q,3600,NONE,400.0,,HD
23212,2.0,Q,3600,NONE,400.0,,HD
23213,2.0,Q,3600,NONE,400.0,,HD
23215,1.0,Q,3600,,200.0,30000.0,HD
23219,2.0,Q,3000,NONE,120.0,,HD
23223,,T,3600,,,,HD
23236,,Q,3600,,,,HD
23457,,Q,3000 3600,,270.0,66000.0,HD
23459,1.0,Q,3600,NONE,25.0,100.0,MD
24846,,Q,3600,NONE,,,HD
25424,,Q,3000 3600,,,,HD
25425,2.0,Q,3600,,,,HD
25426,2.0,Q,3600,,116.0,,HD
25437,4.0,Q,3000 3600,,2600.0,150000.0,HD
25483,4.0,Q,3000 3600,NONE,,,HD
25597,,Q,3600,,1100.0,,HD
25600,2.0,Q,3600,NONE,700.0,43823.0,HD
25601,1.0,Q,3000 3600,,410.0,,HD
25673,1.0,Q,3600,,116.0,108000.0,HD
25763,1.0,Q,3600,NONE,500.0,43823.0,HD
25766,,Q,3000,,,,HD
25879,,Q,3000,,25.0,18000.0,MD
25880,1.0,B,3600,,25.0,33000.0,MD
25882,,Q,3600,,210.0,66000.0,HD
26305,1.0,Q,3000 3600,NONE,1000.0,,MD
26306,1.0,Q,3000 3600,NONE,175.0,,MD
26307,1.0,Q,3000 3600,NONE,60.0,,MD
26308,1.0,Q,3000 3600,NONE,660.0,,MD
26310,1.0,Q,3000 3600,NONE,450.0,,LD
26312,1.0,Q,3000 3600,NONE,700.0,,LD
26314,2.0,Q,3000 3600,NONE,350.0,,HD
26554,1.0,Q,3000 3600,NONE,,,HD
26654,1.0,Q,3000 3600,NONE,,,MD
26655,2.0,Q,3000 3600,NONE,500.0,,MD
26821,4.0,Q,3000 3600,,1680.0,134.0,HD
26830,,Q,,,,,HD
27026,1.0,Q,3600,NONE,2800.0,,MD
27301,,T,3600,,,,MD
27653,1.0,Q,3600,NONE,,,MD
27971,0.0,Q,3600,NONE,,,HD
27973,1.0,Q,3000 3600,,600.0,,HD
27975,1.0,Q,3000 3600,,2000.0,,MD
27977,1.0,B,3000 3600,,1400.0,,HD
27979,2.0,Q,3600,NONE,,,HD
27981,2.0,Q,3000 3600,NONE,,,HD
28133,1.0,Q,3600,,741.0,207598.0,HD
28177,2.0,Q,3000,NONE,,,HD
28523,2.0,Q,3600,NONE,,,HD
28623,,Q,3000 3600,,164.0,,HD
29168,2.0,Q,3000 3600,NONE,,,HD
30355,1.0,Q,3600,,300.0,37000.0,MD
30618,1.0,Q,3000 3600,NONE,350.0,,MD
30619,1.0,Q,3600,NONE,700.0,,HD
30622,1.0,Q,3600,,1000.0,7380.0,HD
30623,2.0,B,3000 3600,,1890.0,,HD
30624,,Q,3000 3600,,,,HD
30626,2.0,Q,3000 3600,NONE,,,HD
30628,1.0,B,3000 3600,NONE,,,HD
30629,1.0,Q,3000 3600,NONE,,,HD
30630,1.0,Q,3000 3600,NONE,450.0,,HD
30631,,Q,3600,,,,HD
30832,1.0,Q,3000 3600,NONE,100.0,,HD
30833,1.0,Q,3000 3600,NONE,5700.0,,HD
30836,4.0,B,3600,,,12357.0,HD
31316,,Q,3600,,560.0,36000.0,HD
31317,,Q,3600,,800.0,36000.0,HD
31318,,Q,3600,,190.0,36000.0,HD
31839,3.0,Q,3600,,500.0,400.0,HD
32056,,B,3600,,,,HD
32059,,B,3600,,,,HD
32062,,Q,3000,,,,HD
32154,2.0,Q,3600,,1000.0,,HD
32422,2.0,Q,3000 3600,NONE,1600.0,,MD
32513,2.0,Q,3000 3600,,1950.0,60000.0,HD
32514,,Q,3000 3600,,400.0,,HD
32572,,B,3000 3600,,415.0,,MD
32669,1.0,Q,3600,NONE,,,HD
32670,1.0,B,3600,,250.0,33000.0,MD
32671,1.0,Q,3600,,180.0,,HD
32828,4.0,Q,3600,,,,HD
32831,2.0,Q,3600,,1300.0,74000.0,HD
32837,,Q,3000,,,,MD
32838,,Q,3600,,6600.0,,MD
32839,,Q,3000,,5400.0,,HD
32840,3.0,Q,3600,,4400.0,,HD
33117,,B,3600,,,,HD
33144,1.0,Q,3600,,50.0,44.0,HD
33204,1.0,Q,3600,NONE,,,HD
33205,2.0,Q,3000,NONE,,,HD
33315,,Q,3000 3600,,,,HD
33316,,Q,3000 3600,,,,HD
33323,1.0,Q,3000 3600,NONE,,,MD
33387,4.0,Q,3600,NONE,610.0,250000.0,HD
33425,4.0,Q,3600,,370.0,22242.0,HD
33428,2.0,Q,3000 3600,,,,MD
33533,1.0,Q,3000 3600,NONE,900.0,,HD
33534,,B,3600,,,,MD
33536,,Q,3600,,,,MD
33538,,Q,3000,,5000.0,,HD
33650,,,,,,,HD
33716,2.0,Q,3600,NONE,,,HD
33898,2.0,Q,3000 3600,NONE,,,MD
33899,2.0,Q,3000 3600,NONE,,,HD
34206,2.0,Q,3000 3600,,,,HD
34243,,B,3000 3600,,,,HD
34315,4.0,Q,3600,NONE,700.0,10000.0,HD
34317,,Q,3600,,525.0,,MD
34320,4.0,Q,3600,,,,HD
34364,4.0,Q,3600,,,,MD
34365,2.0,Q,3600,,,,HD
34474,1.0,Q,3600,NONE,1000.0,,LD
34475,1.0,Q,3000 3600,NONE,726.0,,HD
34478,2.0,Q,3600,NONE,2600.0,,HD
34480,,Q,3600,,,,HD
34831,,Q,3600,,,,LD
34832,1.0,Q,3600,,,,HD
35055,2.0,Q,3600,,475.0,,HD
35056,1.0,Q,3000,NONE,,,HD
35058,,T,3000,,,,LD
35060,,Q,3600,NONE,,,HD
35062,,B,3600,NONE,,,HD
35063,,Q,3600,NONE,,,HD
35064,,Q,3000 3600,NONE,,,HD
35065,,B,3000,,,,HD
35066,,Q,3600,,,,HD
35067,2.0,B,3000 3600,,,,MD
35069,2.0,Q,3600,,,,HD
35070,,Q,3600,,,,HD
35072,,T,3000,,,,HD
35073,1.0,Q,3600,NONE,,,HD
35075,2.0,Q,3600,,,,HD
35077,,Q,3600,,,,HD
35131,1.0,Q,3000 3600,NONE,,,HD
35135,,Q,3600,,4000.0,,HD
35221,,Q,3600,,,,HD
35222,,T,3600,,,,HD
35227,,T,3000,,,,HD
35301,,Q,3600,,18.0,,HD
35304,,Q,3000 3600,,,,HD
35307,,,3000,,,,HD
35309,2.0,Q,3000 3600,,1000.0,,HD
35316,2.0,Q,3000 3600,NONE,,,MD
35317,2.0,Q,3600,NONE,1200.0,56000.0,HD
35318,1.0,Q,3600,NONE,,,MD
35321,,,,,,,HD
35385,2.0,Q,3600,NONE,30.0,,HD
35418,2.0,Q,3600,,,,HD
35419,4.0,Q,3000 3600,,,,HD
35495,1.0,T,3000,,,,LD
35593,4.0,Q,3600,,1300.0,,HD
35597,,Q,3600,,,,HD
35598,2.0,Q,3600,NONE,308.0,205.0,HD
35656,1.0,Q,3000 3600,NONE,,,MD
35685,4.0,Q,3000 3600,NONE,,,MD
35699,2.0,Q,3000 3600,,,,HD
35786,1.0,Q,3600,NONE,,,MD
35787,2.0,Q,3000 3600,NONE,,,HD
35790,,Q,3600,,,,MD
35791,,Q,3600,,,,HD
35907,4.0,Q,3000 3600,NONE,,,HD
35936,1.0,Q,3000 3600,NONE,,,HD
35942,1.0,Q,3600,,760.0,31664.0,HD
36268,2.0,Q,3600,,,,HD
36289,,B,3600,NONE,988.0,8649.0,HD
36292,1.0,Q,3000 3600,NONE,,,MD
36294,1.0,Q,3600,NONE,2.0,,HD
36295,1.0,Q,3600,NONE,2.0,,HD
36296,2.0,Q,3600,NONE,1500.0,100.0,LD
36299,,Q,3600,,,,MD
36304,2.0,Q,3600,LANDFILL,,,HD
36308,,Q,3000 3600,,,,HD
36309,4.0,Q,3000 3600,NONE,1000.0,,HD
36310,2.0,Q,3000 3600,NONE,1000.0,,MD
36311,1.0,Q,3600,,1200.0,,HD
36312,2.0,Q,3600,NONE,,,HD
36497,1.0,Q,3000,,,,MD
36549,2.0,Q,3600,,,,HD
36561,,B,3600,,,,HD
36564,,Q,3600,,,,HD
36568,1.0,Q,3000 3600,,,,HD
36573,,Q,3600,,,,HD
36578,,Q,3600,,,,MD
36580,1.0,Q,3000 3600,NONE,726.0,,HD
36581,1.0,Q,3600,,62.0,74142.0,HD
36582,1.0,Q,3600,,190.0,,MD
36583,,Q,3600,,,,HD
36584,1.0,Q,3600,,452.0,,HD
36586,1.0,Q,3600,,250.0,69426.0,HD
36587,1.0,Q,3600,NONE,257.0,,MD
36588,1.0,Q,3600,,257.0,,MD
36589,1.0,Q,3600,,150.0,,MD
36591,2.0,Q,3600,NONE,500.0,130000.0,HD
36592,2.0,Q,3600,NONE,257.0,,HD
36593,1.0,Q,3000 3600,,,,MD
36622,1.0,Q,3000 3600,NONE,,,MD
36773,2.0,Q,3600,,,,HD
36774,,B,3600,NONE,,,HD
36775,1.0,Q,3600,WASTEWATER,136.0,34105.0,HD
36776,2.0,Q,3600,,,,HD
36777,1.0,Q,3600,,110.0,,HD
36778,1.0,Q,3000,NONE,,,HD
36779,1.0,Q,3600,,,,MD
37116,,Q,3000,,,,MD
37120,1.0,Q,3000 3600,NONE,,,MD
37121,1.0,Q,3000 3600,NONE,,,MD
37124,,Q,3000,,,,MD
37125,,Q,3000,,,,MD
37702,,B,3600,,,,MD
38055,1.0,Q,3600,,,,HD
38058,,Q,,,,,HD
38060,1.0,Q,3600,,634.0,,HD
38375,,T,3600,,,,HD
38484,1.0,Q,3600,,,,HD
38486,,Q,3600,,400.0,,MD
38487,1.0,Q,3000 3600,NONE,,,HD
38489,,Q,3000 3600,,722.0,,HD
38491,,,,,,,HD
38654,3.0,Q,3600,NONE,500.0,,HD
39060,2.0,Q,3600,,,,HD
39188,,T,3600,,,,HD
39191,3.0,Q,3600,NONE,,,HD
39193,1.0,Q,3600,,,,HD
39196,1.0,Q,3000 3600,NONE,,,HD
39197,,T,3600,,,,HD
39601,,T,3600,,,,HD
39655,2.0,B,3600,,100.0,49311.0,HD
40081,1.0,Q,3600,,,,HD
40319,2.0,Q,3000 3600,NONE,400.0,,HD
40323,2.0,Q,3000 3600,NONE,,,MD
40851,1.0,Q,3600,NONE,,,HD
40874,,B,3600,,,,MD
40876,2.0,B,3600,,,,HD
40878,4.0,Q,3600,,300.0,40000.0,HD
41169,,T,3600,,,,HD
41170,,B,3600,,,,HD
41171,2.0,Q,3600,NONE,,,HD
41175,,Q,3600,,,,HD
41356,2.0,Q,3600,,300.0,37000.0,HD
41449,3.0,Q,3600,,275.0,33400.0,HD
41450,3.0,Q,3600,,275.0,33400.0,HD
41672,1.0,Q,3000 3600,NONE,,,MD
41675,1.0,Q,3600,,,,HD
41677,,T,3600,,,,HD
41678,1.0,Q,3000 3600,NONE,,,HD
41679,1.0,Q,3000 3600,,1076.0,,MD
41680,2.0,B,3600,LANDFILL,,,HD
41685,3.0,Q,3600,,,,HD
41976,,B,3600,,,,HD
42089,2.0,Q,3600,,,,MD
42090,2.0,Q,3600,NONE,,,HD
42091,2.0,Q,3600,LANDFILL,1000.0,,HD
42092,2.0,B,3000 3600,,440.0,72000.0,MD
42093,2.0,Q,3600,,800.0,57500.0,HD
42094,1.0,Q,3600,,,,HD
42309,,B,3600,,,,HD
42473,1.0,Q,3000 3600,NONE,,,HD
42581,,T,3600,,,,HD
42582,4.0,T,3600,,,,HD
42584,3.0,Q,3600,,350.0,,HD
42585,2.0,Q,3000 3600,NONE,,,HD
42586,1.0,Q,3600,,,,HD
42590,1.0,Q,3600,NONE,112.0,51000.0,HD
42591,1.0,Q,3600,NONE,257.0,,HD
42592,2.0,Q,3600,NONE,322.0,,MD
42593,1.0,Q,3600,,,,MD
42594,1.0,Q,3600,NONE,322.0,,HD
42595,3.0,Q,3600,,300.0,,MD
42600,2.0,Q,3000 3600,NONE,,,HD
42607,1.0,B,3000 3600,,400.0,30000.0,HD
42609,2.0,Q,3600,,,,HD
43071,2.0,Q,3600,,,,HD
43353,2.0,Q,3600,NONE,540.0,66728.0,HD
43525,2.0,Q,3600,,958.0,36000.0,HD
43625,,T,3600,,,,HD
43630,2.0,Q,3600,,,,HD
43633,2.0,Q,3600,,,,HD
43651,4.0,B,3000 3600,,,,HD
43670,2.0,Q,3600,,,,HD
43686,2.0,Q,3600,,,,HD
43699,4.0,Q,3600,,1500.0,,HD
43705,4.0,Q,3600,,600.0,60000.0,HD
43708,,B,3600,,,,HD
43713,2.0,Q,3600,,,,HD
43723,2.0,Q,3600,,,,HD
44134,,B,3600,,,,HD
44591,3.0,Q,3600,,1400.0,,HD
44752,2.0,Q,3600,,,,HD
44772,,T,3000 3600,,,,HD
44848,4.0,Q,3600,,1400.0,,HD
44851,2.0,Q,3600,,1400.0,,HD
45412,48.0,B,3600,,,,HD
45572,2.0,Q,3600,,,,HD
46011,1.0,Q,3600,,450.0,25950.0,MD
46139,1.0,Q,3000,,,,HD
46151,,Q,3600,,,,LD
46193,1.0,Q,3600,,,,MD
46194,1.0,Q,3600,,,,MD
46195,1.0,Q,3600,,,,HD
46198,1.0,Q,3600,,,,MD
46338,2.0,Q,3600,,882.0,36000.0,HD
46341,,Q,3600,NONE,,,MD
46342,,B,3600,,,,HD
46343,,B,3600,,,,HD
46344,,Q,3600,,28.0,,HD
46345,1.0,Q,3600,,400.0,,HD
46346,1.0,Q,3600,,400.0,,HD
46975,,Q,3600,,,,HD
46977,,Q,3600,,,,HD
47234,2.0,Q,3600,,,,HD
47236,3.0,Q,3600,NONE,,,HD
47238,2.0,Q,3600,,958.0,36000.0,MD
47273,2.0,Q,3600,,,,HD
47276,3.0,Q,3600,LIVESTOCK,1500.0,37500.0,HD
47279,1.0,Q,3600,,250.0,35952.0,HD
47282,2.0,Q,3600,NONE,,,HD
47284,,T,3600,,,,HD
47287,,T,3600,NONE,,,HD
47288,2.0,Q,3600,LANDFILL,1000.0,,HD
47291,1.0,Q,3600,,,,HD
47292,1.0,Q,3600,,,,MD
47293,2.0,Q,3600,,350.0,,HD
47295,1.0,Q,3600,,116.0,60000.0,HD
47301,4.0,Q,3600,,,,HD
47302,1.0,Q,3600,NONE,,1000.0,LD
47463,2.0,Q,3600,NONE,,,HD
47992,2.0,Q,3600,,,,HD
47993,,B,3600,,,,HD
47994,2.0,Q,3600,,,,HD
47996,2.0,Q,3600,,,,HD
47997,,B,3600,,,,HD
48004,2.0,Q,3600,,630.0,900.0,HD
48005,1.0,Q,3600,,116.0,72000.0,HD
48007,1.0,Q,3600,,116.0,108000.0,HD
48010,4.0,B,3600,,,,HD
48011,,T,3000 3600,,,,HD
48012,2.0,Q,3600,,,,HD
48013,1.0,Q,3000 3600,NONE,,,MD
48014,1.0,Q,3600,NONE,,,MD
48488,2.0,Q,3600,,,,HD
48496,2.0,Q,3600,,,,HD
48497,1.0,Q,3600,,,,HD
48499,2.0,Q,3600,,,,HD
48503,,T,3600,,,,HD
48516,1.0,Q,3600,,200.0,,HD
