sid,hy_is_retail,hy_pressures,hy_standards,hy_status_link
61982,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/mill-valley
61983,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/thousand-oaks
61984,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/del-mar
61985,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/san-jose
61986,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/santa-barbara
61987,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/saratoga
61988,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/south-pasadena
61989,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/south-san-francisco
61990,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/lake-tahoe-truckee
62002,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/lawndale
62004,1.0,"[""350"",""700""]","[""J2601""]",
62009,0.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/riverside-0
62011,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/san-ramon
62013,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/mountain-view
62014,,"[""350"",""700""]","[""J2601"",""J2601-2""]",
62015,,"[""350""]",,
62017,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/san-juan-capistrano
62018,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/santa-monica-0
62022,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/woodland-hills
62113,1.0,"[""350"",""700""]","[""J2601""]",
64018,1.0,"[""350"",""700""]","[""J2601""]",http://cafcp.org/content/west-sacramento
66739,0.0,"[""350""]","[""J2601""]",
66740,0.0,"[""350""]","[""J2601""]",
66848,0.0,"[""350""]","[""J2601""]",
70260,0.0,"[""350""]","[""J2601-2""]",
71933,1.0,"[""350"",""700""]","[""J2601""]",https://cafcp.org/stationmap
73480,,"[""350""]","[""J2601"",""J2601-2""]",
75427,0.0,"[""350""]","[""J2601""]",
81818,1.0,"[""700""]","[""J2601""]",
82474,1.0,"[""350"",""700""]","[""J2601""]",
88094,1.0,"[""700""]","[""J2601""]",
88307,1.0,"[""700""]","[""J2601""]",http://m.cafcp.org/content/san-francisco-third-st
88308,1.0,"[""700""]","[""J2601""]",http://m.cafcp.org/content/san-francisco-mission-st
88309,1.0,"[""700""]","[""J2601""]",http://m.cafcp.org/content/berkeley
88310,1.0,"[""700""]","[""J2601""]",http://m.cafcp.org/content/san-francisco-harrison-st
88312,1.0,"[""350"",""700""]","[""J2601""]",
88313,1.0,"[""350"",""700""]","[""J2601""]",http://cafcp.org/content/sunnyvale
88315,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/oakland-grand-ave
88317,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/san-diego
88318,1.0,"[""700""]","[""J2601""]",http://m.cafcp.org/content/sacramento
88319,1.0,"[""350"",""700""]","[""J2601""]",http://cafcp.org/content/campbell-east-hamilton-ave
88320,1.0,"[""700""]","[""J2601""]",http://m.cafcp.org/content/citrus-heights
91992,1.0,"[""350"",""700""]","[""J2601""]",https://m.cafcp.org/content/studio-city
91993,1.0,"[""700""]","[""J2601""]",
97043,1.0,"[""700""]","[""J2601""]",
97044,1.0,"[""700""]","[""J2601""]",
97045,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/mission-hills
102640,,,,
121689,1.0,"[""700""]","[""J2601""]",https://m.h2fcp.org/content/san-jose-bernal-road
121860,,"[""350""]",,
122915,1.0,"[""350"",""700""]","[""J2601""]",http://cafcp.org/content/fountain-valley-0
122916,1.0,,,
122917,0.0,,,
153941,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/diamond-bar
153942,,"[""350""]","[""J2601-2""]",
166214,1.0,"[""350"",""700""]","[""J2601""]",http://cafcp.org/content/concord
