sid,port
39875,type1
39875,ccs
39876,chademo
39876,type1
39876,ccs
39877,chademo
39877,type1
39877,ccs
39878,type1
39879,chademo
39879,type1
39880,type1
39881,chademo
39881,type1
39882,chademo
39882,type1
39882,ccs
39883,chademo
39883,type1
39884,type1
39884,ccs
39885,type1
39886,type1
39887,chademo
39887,type1
39887,ccs
39888,chademo
39888,type1
39889,type1
39890,type1
39891,chademo
39891,type1
39891,ccs
39892,chademo
39892,type1
39892,ccs
39893,chademo
39893,type1
39894,type1
39895,chademo
39895,type1
39895,ccs
39896,type1
39897,type1
39898,chademo
39898,type1
39898,ccs
39899,chademo
39899,type1
39901,chademo
39901,type1
39901,ccs
39902,type1
39903,chademo
39903,type1
39903,ccs
39904,chademo
39904,type1
39904,ccs
39905,chademo
39905,type1
39906,chademo
39906,type1
39907,chademo
39907,type1
39908,type1
39910,type1
39911,type1
39912,chademo
39912,type1
39912,ccs
39913,chademo
39913,type1
39913,ccs
39914,type1
39915,type1
39916,chademo
39916,type1
39917,chademo
39917,type1
39918,chademo
39918,type1
39919,chademo
39919,type1
39920,chademo
39920,type1
39920,ccs
39921,chademo
39921,type1
39922,type1
39923,chademo
39923,type1
39925,chademo
39925,type1
39925,ccs
39926,type1
39927,chademo
39927,type1
39927,ccs
39928,chademo
39928,type1
39928,ccs
39929,chademo
39929,type1
39929,ccs
39930,chademo
39930,type1
39931,chademo
39931,type1
39932,chademo
39932,type1
39933,chademo
39933,type1
39934,type1
39935,chademo
39935,type1
39935,ccs
39936,chademo
39936,type1
39937,chademo
39937,type1
39937,ccs
39938,chademo
39938,type1
39939,chademo
39939,type1
39939,ccs
39943,chademo
39943,type1
39943,ccs
39944,chademo
39944,type1
39945,chademo
39945,type1
39945,ccs
39947,chademo
39947,type1
39947,ccs
39948,chademo
39948,type1
39949,chademo
39949,type1
39951,type1
39952,chademo
39952,type1
39952,ccs
39953,type1
39954,type1
39955,type1
39956,type1
39957,chademo
39957,type1
39957,ccs
39959,chademo
39959,type1
39962,type1
39963,type1
39964,chademo
39964,type1
39965,chademo
39965,type1
39966,chademo
39966,type1
39967,type1
39968,chademo
39968,type1
39969,type1
39970,chademo
39970,type1
39971,chademo
39971,type1
39972,chademo
39972,type1
39973,type1
39974,chademo
39974,type1
39975,chademo
39975,type1
39976,type1
39978,chademo
39978,type1
39979,type1
39980,type1
39981,type1
39982,chademo
39982,type1
39983,chademo
39983,type1
39985,chademo
39985,type1
39986,chademo
39986,type1
39986,ccs
39988,chademo
39988,type1
39989,chademo
39989,type1
39990,chademo
39990,type1
39990,ccs
39991,type1
39992,chademo
39992,type1
39992,ccs
39993,chademo
39993,type1
39994,type1
39995,type1
39996,type1
39997,chademo
39997,type1
39998,chademo
39998,type1
39998,ccs
40012,type1
40012,nema520
40018,chademo
40018,type1
40018,ccs
40020,type1
40025,chademo
40025,type1
40025,ccs
40026,type1
40029,chademo
40029,type1
40029,ccs
40030,chademo
40030,type1
40033,chademo
40033,type1
40046,type1
40047,type1
40053,type1
40056,type1
40056,nema520
40057,type1
40057,nema520
40063,type1
40066,chademo
40066,type1
40066,ccs
40067,chademo
40067,type1
40068,type1
40069,type1
40185,type1
40248,type1
40255,type1
40367,type1
40372,type1
40376,type1
40380,type1
40382,chademo
40382,type1
40383,type1
40384,type1
40389,type1
40390,type1
40407,type1
40407,nema520
40444,type1
40482,type1
40522,type1
40565,type1
40570,type1
40571,type1
40572,type1
40593,type1
40593,nema515
40594,type1
40596,type1
40603,type1
40607,type1
40608,type1
40609,type1
40610,type1
40613,type1
40653,type1
40689,type1
40689,nema520
40697,type1
40701,type1
40704,type1
40745,type1
40747,type1
40751,type1
40751,nema520
40752,type1
40752,nema520
40765,type1
40765,nema515
40775,type1
40775,nema515
40777,type1
40777,nema515
40790,type1
40790,ccs
40794,type1
40806,type1
40854,type1
40940,type1
40965,type1
40978,type1
40979,type1
40983,type1
40984,type1
40996,type1
40997,type1
40998,type1
41006,type1
41007,type1
41025,type1
41025,nema520
41047,type1
41047,nema520
41049,type1
41085,type1
41093,type1
41096,type1
41099,type1
41100,type1
41101,type1
41102,type1
41108,type1
41121,type1
41122,type1
41230,type1
41237,type1
41240,type1
41263,type1
41264,type1
41265,type1
41266,type1
41269,type1
41272,type1
41347,type1
41352,type1
41395,type1
41446,type1
41483,type1
41520,type1
41524,type1
41525,type1
41526,type1
41553,type1
41579,type1
41581,type1
41758,type1
41772,type1
41773,type1
41776,type1
41779,type1
41800,type1
41809,type1
41810,type1
41814,type1
41849,type1
41941,type1
41985,type1
41987,type1
41988,type1
42013,type1
42016,chademo
42016,type1
42016,ccs
42032,type1
42043,type1
42044,type1
42110,type1
42124,type1
42125,type1
42131,type1
42136,type1
42169,type1
42178,type1
42186,type1
42186,nema515
42196,type1
42196,nema1450
42209,type1
42228,type1
42240,type1
42285,type1
42382,type1
42384,type1
42396,type1
42397,type1
42398,type1
42399,type1
42400,type1
42401,type1
42402,type1
42402,nema520
42403,type1
42403,nema520
42404,type1
42423,type1
42460,type1
42461,type1
42462,type1
42462,nema520
42488,type1
42492,type1
42492,tesla
42499,type1
42529,type1
42542,type1
42542,nema520
42543,type1
42543,nema520
42639,type1
42640,type1
42656,type1
42659,type1
42689,type1
42701,type1
42705,type1
42711,type1
42719,type1
42720,type1
42726,type1
42729,type1
42872,type1
42888,type1
42907,type1
42927,type1
42939,type1
42966,type1
43021,type1
43022,type1
43022,nema515
43090,type1
43178,type1
43182,type1
43186,type1
43190,type1
43191,type1
43195,type1
43196,type1
43248,type1
43253,type1
43254,type1
43260,type1
43281,type1
43290,type1
43292,type1
43299,type1
43303,type1
43305,type1
43308,type1
43324,type1
43358,type1
43363,type1
43390,type1
43415,type1
43418,type1
43420,type1
43422,type1
43440,type1
43444,type1
43451,type1
43455,type1
43458,type1
43459,type1
43478,type1
43551,type1
43615,type1
43760,type1
43761,type1
43762,chademo
43762,type1
43763,type1
43764,type1
43795,type1
43796,type1
43804,type1
43806,type1
43833,type1
43834,type1
43834,nema515
43836,type1
43836,nema515
43839,chademo
43839,type1
43840,chademo
43840,type1
43840,ccs
43860,type1
43865,type1
43868,type1
43876,chademo
43876,type1
43877,type1
43880,type1
43971,type1
43971,nema520
44012,type1
44017,chademo
44017,type1
44017,ccs
44136,type1
44137,type1
44147,type1
44148,type1
44150,type1
44151,type1
44153,type1
44156,type1
