sid,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network
36378,0.0,0.0,2.0,ChargePoint Network
36532,0.0,1.0,0.0,Non-Networked
36610,0.0,0.0,1.0,Non-Networked
36619,0.0,1.0,1.0,ChargePoint Network
36709,0.0,0.0,2.0,Non-Networked
36710,0.0,0.0,2.0,Non-Networked
36711,0.0,0.0,2.0,Non-Networked
36923,0.0,0.0,2.0,Non-Networked
36924,0.0,2.0,2.0,Non-Networked
36925,0.0,0.0,5.0,Non-Networked
36928,0.0,2.0,4.0,Non-Networked
36931,0.0,1.0,1.0,Non-Networked
36932,0.0,0.0,2.0,Non-Networked
36949,0.0,0.0,2.0,ChargePoint Network
36951,0.0,0.0,2.0,ChargePoint Network
37056,0.0,1.0,1.0,Non-Networked
37097,0.0,0.0,1.0,Non-Networked
37104,0.0,0.0,2.0,Non-Networked
37150,0.0,0.0,2.0,ChargePoint Network
37151,0.0,0.0,2.0,ChargePoint Network
37154,0.0,0.0,2.0,ChargePoint Network
37161,0.0,0.0,2.0,ChargePoint Network
37162,0.0,0.0,2.0,ChargePoint Network
37166,0.0,0.0,1.0,Non-Networked
37170,0.0,0.0,2.0,ChargePoint Network
37171,0.0,0.0,2.0,ChargePoint Network
37181,0.0,0.0,2.0,ChargePoint Network
37651,0.0,0.0,1.0,Non-Networked
37655,0.0,0.0,4.0,Non-Networked
37673,0.0,0.0,1.0,Non-Networked
37679,0.0,0.0,2.0,Non-Networked
37681,0.0,0.0,3.0,Non-Networked
37683,0.0,0.0,2.0,ChargePoint Network
37813,0.0,0.0,1.0,Non-Networked
37835,0.0,0.0,3.0,Non-Networked
38082,0.0,0.0,2.0,ChargePoint Network
38083,0.0,0.0,3.0,Non-Networked
38096,0.0,0.0,2.0,Non-Networked
38254,0.0,0.0,2.0,ChargePoint Network
38298,0.0,0.0,10.0,Non-Networked
38299,0.0,0.0,2.0,Non-Networked
38300,0.0,0.0,2.0,Non-Networked
38301,0.0,0.0,2.0,Non-Networked
38302,0.0,0.0,2.0,Non-Networked
38303,0.0,0.0,4.0,Non-Networked
38304,0.0,0.0,2.0,Non-Networked
38305,0.0,0.0,2.0,Non-Networked
38306,0.0,0.0,2.0,Non-Networked
38307,0.0,0.0,2.0,Non-Networked
38308,0.0,0.0,2.0,Non-Networked
38309,1.0,0.0,2.0,Non-Networked
38310,0.0,0.0,2.0,Non-Networked
38312,0.0,0.0,2.0,Non-Networked
38313,0.0,0.0,2.0,Non-Networked
38379,0.0,0.0,3.0,Non-Networked
38517,0.0,0.0,1.0,Non-Networked
38518,0.0,0.0,5.0,Non-Networked
38521,2.0,0.0,12.0,Non-Networked
