id,brand,vehicle_type,model,release_year,variant,type,ac_port,dc_port,usable_battery_size,energy_consumption
78,Fiat,car,500e,2020.0,,bev,type2,ccs,42.0,16.8
79,Ford,car,Focus electric,2013.0,,bev,type2,,23.0,16.4
80,Ford,car,Focus electric,2017.0,,bev,type2,ccs,33.5,16.4
81,Ford,car,Kuga,2020.0,PHEV,phev,type2,,14.4,19.0
82,Ford,car,Mustang Mach e,2020.0,"AWD 98,8 kWh",bev,type2,ccs,88.0,18.1
83,Ford,car,Mustang Mach e,2020.0,"RWD 75,7 kWh",bev,type2,ccs,70.0,16.5
84,Ford,car,Mustang Mach e,2020.0,"AWD 75,7 kWh",bev,type2,ccs,70.0,17.9
85,Ford,car,Mustang Mach e,2020.0,"RWD 98,8 kWh",bev,type2,ccs,88.0,16.5
86,Ford,car,Mustang Mach e,2020.0,GT,bev,type2,ccs,88.0,20.0
87,Honda,car,e,2020.0,,bev,type2,ccs,32.0,16.0
88,Hyundai,car,Ioniq,2019.0,,bev,type2,ccs,38.3,15.3
89,Hyundai,car,Ioniq 5,2021.0,,bev,type2,ccs,72.6,19.4
90,Hyundai,car,Kona,2020.0,64 kWh 11 kW-AC,bev,type2,ccs,64.0,15.8
91,Hyundai,car,Kona,2018.0,"39 kWh 7,2 kW-AC",bev,type2,ccs,39.2,15.4
92,Hyundai,car,Kona,2018.0,"64 kWh 7,2 kW-AC",bev,type2,ccs,64.0,15.8
93,Hyundai,car,Kona,2020.0,39 kWh 11 kW-AC,bev,type2,ccs,39.2,15.4
94,Hyundai,car,Ioniq,2016.0,,bev,type2,ccs,28.0,14.4
95,Hyundai,car,Ioniq,2016.0,PHEV,bev,type2,,8.9,15.4
96,Jaguar,car,i-Pace,,,bev,type2,ccs,84.0,23.2
97,Jaguar,car,i-Pace,2020.0,EV320,bev,type2,ccs,84.0,23.2
98,Jaguar,car,i-Pace,2020.0,EV400,bev,type2,ccs,84.0,23.2
99,Jeep,car,Renegade 4xe,2020.0,"11,4 kWh",phev,type2,,11.4,23.9
100,Kia,car,EV6,2021.0,Standard Range 2WD,bev,type2,ccs,58.0,17.3
