sid,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network
21594,type1,None,None,4.0,Non-Networked
21606,type1,None,None,3.0,Non-Networked
21607,type1,None,None,3.0,Non-Networked
21608,type1,None,None,2.0,Non-Networked
21609,type1,None,None,16.0,Non-Networked
21612,type1,None,None,3.0,Non-Networked
21618,type1,None,None,6.0,Non-Networked
21673,type1,None,1.0,3.0,Non-Networked
21673,nema520,None,1.0,3.0,Non-Networked
21713,type1,None,1.0,1.0,Non-Networked
21713,nema520,None,1.0,1.0,Non-Networked
21794,type1,None,None,5.0,Non-Networked
25171,type1,None,None,8.0,Non-Networked
25491,type1,None,None,2.0,Non-Networked
25494,type1,None,1.0,2.0,Non-Networked
25494,nema520,None,1.0,2.0,Non-Networked
25497,type1,None,None,1.0,Non-Networked
25500,type1,None,None,1.0,Non-Networked
25501,type1,None,None,2.0,Non-Networked
25502,type1,None,None,2.0,Non-Networked
25507,type1,None,None,2.0,Non-Networked
25511,type1,None,None,1.0,Non-Networked
25514,type1,None,None,4.0,Non-Networked
25515,type1,None,None,2.0,Non-Networked
25516,type1,None,None,2.0,Non-Networked
25517,type1,None,None,1.0,Non-Networked
25518,type1,None,None,7.0,Non-Networked
25519,type1,None,None,4.0,Non-Networked
25520,nema520,None,1.0,None,Non-Networked
25522,type1,None,None,3.0,Non-Networked
25523,type1,None,None,2.0,Non-Networked
25525,type1,None,None,1.0,Non-Networked
25527,type1,None,None,1.0,Non-Networked
25610,type1,None,None,1.0,Non-Networked
27036,nema520,None,2.0,None,Non-Networked
27302,type1,None,None,1.0,Non-Networked
27328,type1,None,None,2.0,Non-Networked
27329,type1,None,None,3.0,Non-Networked
27335,type2,None,None,None,Non-Networked
28007,type1,None,None,20.0,Non-Networked
29862,type1,None,None,1.0,Non-Networked
32850,type1,None,None,1.0,Non-Networked
32973,type1,None,None,6.0,Non-Networked
33177,type1,None,None,12.0,Non-Networked
33178,type1,None,None,21.0,Non-Networked
33179,type1,None,None,67.0,Non-Networked
33180,type1,None,None,2.0,Non-Networked
33182,chademo,1.0,None,56.0,Non-Networked
33182,type1,1.0,None,56.0,Non-Networked
33183,type1,None,None,17.0,Non-Networked
33351,type1,None,None,4.0,Non-Networked
33378,type1,None,2.0,2.0,Non-Networked
33378,nema515,None,2.0,2.0,Non-Networked
33544,type1,None,None,1.0,Non-Networked
33545,type1,None,1.0,1.0,Non-Networked
33545,nema515,None,1.0,1.0,Non-Networked
33550,type1,None,None,3.0,ChargePoint Network
33555,type1,None,None,2.0,Non-Networked
33556,type1,None,None,2.0,Non-Networked
33557,type1,None,3.0,7.0,Non-Networked
33557,nema520,None,3.0,7.0,Non-Networked
33558,type1,None,None,1.0,Non-Networked
33559,type1,None,None,2.0,Non-Networked
33564,type1,None,None,2.0,Non-Networked
33690,type1,None,None,1.0,Non-Networked
33695,type1,None,None,2.0,Non-Networked
33717,nema520,None,36.0,None,Non-Networked
33921,type1,None,None,4.0,Non-Networked
34106,type1,None,None,2.0,Non-Networked
34829,nema520,None,2.0,None,Non-Networked
34849,nema520,None,2.0,None,Non-Networked
34859,type1,None,None,6.0,Non-Networked
35146,type1,None,None,2.0,Non-Networked
35149,type1,None,None,1.0,Non-Networked
35258,type1,None,None,2.0,ChargePoint Network
35272,nema520,None,4.0,None,Non-Networked
35284,type1,None,None,2.0,ChargePoint Network
35290,type1,None,None,2.0,ChargePoint Network
35337,nema520,None,2.0,None,Non-Networked
