id,brand,vehicle_type,model,release_year,variant,type,usable_battery_size,energy_consumption
5da32d2e-f470-42c0-bf12-1db2336326ab,BMW,car,X1,2019.0,xDrive 25e,phev,9.7,19.0
ec2fa6bc-3470-4e80-a10f-eecc62321580,BMW,car,X3,2019.0,xDrive30e,phev,12.0,16.4
c0217035-4247-877f-43ba-446d583db76c,CUPRA,car,Born,2021.0,150 kW - 62 kWh,bev,58.0,166.0
a9344438-3cea-e564-5532-969591f070c8,CUPRA,car,Born,2022.0,170 kW - 62 kWh,bev,58.0,168.0
93754920-4a86-c1e9-7f58-7b183afbdbef,CUPRA,car,Born,2021.0,170 kW - 82 kWh,bev,77.0,171.0
ab631897-9d68-4971-8cbc-b81d0ef2ccaa,CUPRA,car,Born,2021.0,110 kW - 55 kWh,bev,45.0,164.0
7508892b-e7e7-42ba-9cca-57753426cd86,Chevrolet,car,Spark EV,2013.0,21 kWh,bev,21.3,16.0
6a4c5e58-d1cb-49ad-a1cf-c0025fb7246f,Chevrolet,car,Spark EV,2015.0,19 kWh,bev,19.0,14.0
b8a76fa8-97f1-4f27-8f9f-80f26df230d1,Chevrolet,car,Bolt,2017.0,60 kWh,bev,58.0,12.9
45b68c71-cd11-4bd7-a03f-fdaae259635d,Citroen,car,C-Zero,,,bev,14.5,17.1
e8773876-6036-4a6c-926e-5490aae58971,Citroen,car,Berlingo Electric,,,bev,22.5,17.7
69d3b6cb-70a7-47a5-8e04-3a14d3576b36,Citroen,car,ë-C4,2020.0,,bev,46.0,18.0
e2d5a248-d966-4b08-8fb0-9383fa84b713,Citroen,car,C5,2020.0,Hybrid,phev,13.2,16.0
870f1edc-6c06-444f-9bc1-0074b6409cbb,Citroen,car,ë-Spacetourer,2020.0,50 kWh,bev,46.0,18.0
8bcc442d-1c0e-4efc-9bda-98cac700a98d,Citroen,car,ë-Spacetourer,2020.0,75 kWh,bev,75.0,18.0
430ca2cd-bd4b-482a-8776-85a8c7d3435c,DS,car,3 Crossback E-Tense,2020.0,11 kW-AC,bev,46.0,18.4
3b5bb8d1-0f34-4c05-861c-45d19a8883b9,DS,car,3 Crossback E-Tense,2020.0,"7,2 kW-AC",bev,46.0,18.4
ee64213e-fa1d-425e-b90e-6cff9c2a3469,DS,car,7 Crossback,2020.0,E-Tense 4X4 PHEV,phev,13.2,17.4
db0f0c27-ec80-7479-a5ff-ca8fef1adb1b,Dacia,car,Spring Electric,2021.0,,bev,26.8,15.8
52528a60-360d-0fd8-05ec-826572b4d327,Energica,motorbike,Eva,2020.0,Ribelle,bev,18.9,11.59
791a1d30-5072-d27e-7f01-7b2f4bf5d4f3,Energica,motorbike,Ego,2019.0,,bev,18.9,11.59
e69c9424-5b15-e141-ea6a-963c93a9039c,Energica,motorbike,Eva,2019.0,,bev,18.9,11.59
2f2b159b-9b03-450f-9818-c139323d1735,Fiat,car,500e,2014.0,,bev,19.2,18.0
22f521ce-42ca-40d7-bfdb-5d33b1bd9cbe,Fiat,car,500e,2020.0,,bev,42.0,16.8
6cd5ba89-6523-4bca-9423-ea92227a8b8d,Ford,car,Focus electric,2013.0,,bev,23.0,16.4
c0a26929-1157-4fb4-a999-4f172df9cad7,Ford,car,Focus electric,2017.0,,bev,33.5,16.4
4ea0fb0a-8d77-4a03-a147-5e962f8ea766,Ford,car,Kuga,2020.0,PHEV,phev,14.4,19.0
4d84c2e6-2902-4086-aa87-f3852a42d15d,Ford,car,Mustang Mach e,2020.0,"AWD 98,8 kWh",bev,88.0,18.1
f44095b1-b4b0-430b-a88f-257a164d9dfd,Ford,car,Mustang Mach e,2020.0,"RWD 75,7 kWh",bev,70.0,16.5
b93051f8-a4c4-488f-9862-6c92a8ab7f11,Ford,car,Mustang Mach e,2020.0,"AWD 75,7 kWh",bev,70.0,17.9
b1aa6457-c0af-458d-96dc-178ad1977e47,Ford,car,Mustang Mach e,2020.0,"RWD 98,8 kWh",bev,88.0,16.5
2a41f004-7fe8-4dfe-8e6c-57691c9b6283,Ford,car,Mustang Mach e,2020.0,GT,bev,88.0,20.0
5bfa9a87-7b35-4e3a-bd3f-dc2ac55e184b,Honda,car,e,2020.0,,bev,32.0,16.0
3038b11b-2dfc-4f9f-b22c-4bfdc08d0c4b,Hyundai,car,Ioniq,2019.0,,bev,38.3,15.3
b58bc94d-d929-ad71-d95b-08b877bf76ba,Hyundai,car,Ioniq 5,2021.0,,bev,72.6,19.4
c1fd1277-5d77-416b-bb25-84bd21f57963,Hyundai,car,Kona,2020.0,64 kWh 11 kW-AC,bev,64.0,15.8
6cc437e9-b842-4c1b-9c08-9ca2d46d22a9,Hyundai,car,Kona,2018.0,"39 kWh 7,2 kW-AC",bev,39.2,15.4
8df35b23-dcc6-4590-83c7-5578da4c4809,Hyundai,car,Kona,2018.0,"64 kWh 7,2 kW-AC",bev,64.0,15.8
e81564b0-46e3-41f6-b6a6-70370a37f685,Hyundai,car,Kona,2020.0,39 kWh 11 kW-AC,bev,39.2,15.4
c576bee8-8066-4174-bc69-5fe9f2e666ee,Hyundai,car,Ioniq,2016.0,,bev,28.0,14.4
3667752d-17a5-4166-abaf-dcf227948bfd,Hyundai,car,Ioniq,2016.0,PHEV,bev,8.9,15.4
8da12395-cf7a-4ccf-886f-e25ade426457,Jaguar,car,i-Pace,,,bev,84.0,23.2
755da8dd-f3d7-48de-a92a-bee65c5e6201,Jaguar,car,i-Pace,2020.0,EV320,bev,84.0,23.2
f77ac610-ac67-48c7-af8a-f78e0bf31c70,Jaguar,car,i-Pace,2020.0,EV400,bev,84.0,23.2
fe545103-2f35-fe06-302a-8d1f5e673d0f,Jeep,car,Renegade 4xe,2020.0,"11,4 kWh",phev,11.4,23.9
9b0481fc-60cf-5975-6eb2-ce03cd7bc5f8,Kia,car,EV6,2021.0,Standard Range 2WD,bev,58.0,17.3
776644a5-1ec8-cb13-92d1-ac9d10c36826,Kia,car,EV6,2021.0,Long Range 2WD,bev,77.4,18.5
5e1746c9-56a2-4fb9-8a76-b75c95a037ee,Kia,car,Soul,,30 kWh,bev,30.0,17.6
68cbedff-8994-4b77-bfb5-6aa22962e3a2,Kia,car,e-Niro,2020.0,64 kWh,bev,64.0,17.3
0f7eae0b-43be-48f8-b4a0-1a8266fd07a9,Kia,car,e-Niro,2018.0,64 kWh,bev,64.0,17.3
66cb7bea-24b7-458f-ae3e-11d4a852568b,Kia,car,e-Niro,2018.0,39 kWh,bev,39.0,16.3
63cd9718-5737-4898-a4f4-e594b28c74c0,Kia,car,e-Niro,2020.0,39 kWh 11 kW-AC,bev,39.0,16.3
add28704-7b59-474d-bfa6-2338e54ccaef,Kia,car,Soul,,27 kWh,bev,27.0,17.6
87e73c44-93ba-4687-877c-32a3aa940a09,Kia,car,e-Soul,2020.0,64 kWh 11 kW-AC,bev,64.0,17.5
58661a4c-e1f9-4dc2-8d09-3bb42be62554,Kia,car,e-Soul,2019.0,39 kWh,bev,39.0,17.0
3c933da2-1fa1-4094-825a-a181610dbfd0,Kia,car,e-Soul,2019.0,64 kWh,bev,64.0,17.5
600a7816-ea65-4e6a-ac91-c5528b379028,Kia,car,e-Soul,2019.0,39 kWh 11 kW-AC,bev,39.0,17.0
b97f749b-5361-4116-8103-c208dc601a0b,Kia,car,Ceed SW,2020.0,PHEV,phev,8.9,11.3
